Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
DD-13 Medical Droid	FOTR	DD_13_Medical_Droid	D	Character	Imperial Medical Droid	3	20	1	3	R	14		Discard this unit from the Character arena -> Tap one of your Jedi or Sith Characters and remove all damage counters from this unit. Play only during your build step.		REP, CW
Delta Squad (A)	FOTR	Delta_Squad_A	L	Ground	Republic Clone Squad	7	50	5	4	R	15		Accuracy 1 | Critical Hit 1		REP, CW
Doing Their Job	FOTR	Doing_Their_Job	L	Battle						R	16		Discard one of your Clone units from any arena -> Prevent all damage to one of your other units in that arena.		REP, CW
Eta-2 Squadron (A)	FOTR	Eta_2_Squadron_A	L	Space	Republic Jedi Squadron	6	60	5	4	R	17		When the Space battle step starts, remove all damage counters from this unit.		REP, CW
Exile	FOTR	Exile	D	Mission		4				R	18		To complete Exile, pay X Force. At the start of the Character battle step, choose one of your opponent's Jedi in the Character arena with a total build cost equal to or less than X. Your opponent retreats that unit.		REP, CW, REB
General Grievous (A)	FOTR	General_Grievous_A	D	Character	Separatist Cyborg Officer	9	60	7	6	R	19		Treat Grievous as a Dark Jedi Droid. | Parry 1 | Pay 2 Force -> Evade 2 | As long as Grievous is attacking a Jedi, he gets Accuracy 1.		REP, CW
General Grievous (B)	FOTR	General_Grievous_B	D	Character	Separatist Cyborg Officer	6	50	6	4	R	20		Treat Grievous as a Dark Jedi. | Armor | Pay 3 Force -> Evade 2 | Bounty: Gain control of all Equipment detached from the discarded Character when it was discarded and attach it to Grievous without paying the equip cost. When that Equipment is detached from Grievous, return it to its owner's build zone. The owner gains control of that Equipment.		REP, CW
Grievous's Starfighter (A)	FOTR	Grievouss_Starfighter_A	D	Space	Separatist Starfighter	5	60	3	3	R	21		Accuracy 1 | Critical Hit 1		REP, CW
Grievous's Wheelbike (A)	FOTR	Grievouss_Wheelbike_A	D	Ground	Separatist Vehicle	5	70	4	3	R	22		Critical Hit 2 | Pay 2 Force -> Retreat one of your Separatist Characters from the Character arena. Play only when no unit is attacking.		REP, CW
Invisible Hand (A)	FOTR	Invisible_Hand_A	D	Space	Separatist Capital Ship	9	30	7	6	R	23		Each of your Droid Starfighters costs one less build counter to deploy. | The Invisible Hand gets Critical Hit 2 when attacking a Capital Ship.		REP, CW
Lava Fields	FOTR	Lava_Fields	N	Location	Ground - Mustafar	2				R	24		Each Ground unit (yours and your opponent's) loses Shields and Armor.		REP, CW
Lightsaber Collection (A)	FOTR	Lightsaber_Collection_A	D	Equipment	Character	2				R	25		Pay 2 build points, 2 Force -> Equip | Equipped Jedi Character or Sith Character gets "When this unit attacks, roll a die. For this attack, this unit gets 1) +2 power, 2) Accuracy 1, 3) Critical Hit 1, 4) Stun 3, 5) Lucky 2. If you roll a 6, this unit gets all 5 effects."		REP, CW
Luminara Unduli (A)	FOTR	Luminara_Unduli_A	L	Character	Mirialan Jedi Master	6	50	5	5	R	26		Pay 2 Force -> Evade 2 | As long as Barriss Offee is in the Character arena, Luminara gets Parry 1.		REP, CW
Mon Mothma (B)	FOTR	Mon_Mothma_B	L	Character	Chandrilan Republic Diplomat	4	30	2	3	R	27	Mon Mothma's ability targets all versions of a Character in play, or only that copy of a non-unique Character in play.	[tap], pay 2 build points -> Choose up to two of your units. Those units, including all versions in their stacks, gain the Rebel subtype until end of game.		REP, CW
Obi-Wan Kenobi (O)	FOTR	Obi_Wan_Kenobi_O	L	Character	Jedi Master - Council Member	9	50	7	7	R	28		Parry 2 | Pay 2 Force -> Evade 2		REP, CW, REB
Obi-Wan Kenobi's Lightsaber (A)	FOTR	Obi_Wans_Lightsaber_A	L	Equipment	Character	2				R	29	Name and text erratum (Last sentence separated)	Pay 1 build point, 2 Force -> Equip | Equipped Jedi Character or Sith Character gets Parry 1 | Equipped Obi-Wan Kenobi also gets Accuracy 1.		REP, CW, REB
Order 66	FOTR	Order_66	D	Battle						R	30		Tap Darth Sidious, Pay X Force -> Choose one of your opponent's Clone units with a total build cost equal to or less than X. Gain control of that unit until end of game. If your opponent has no Clone units in play, take a Clone unit card with a total build cost equal to or less than X from your hand and put it into its arena untapped. Darth Sidious can't untap until the next turn ends.		REP, CW
Po Nudo (A)	FOTR	Po_Nudo_A	D	Character	Aqualish Separatist Diplomat	5	20	1	3	R	31		[tap] -> Choose an arena. Remove one damage counter from each of your damaged Separatists in that arena. Play only during your build step.		REP, CW
Premonitions	FOTR	Premonitions	L	Mission		3				R	32		Look at the top 5 cards of your deck. Choose two and put them in your hand. Put the rest of the cards on top of your deck in any order.		REP, CW
Preservation of Democracy	FOTR	Preservation_of_Democracy	L	Battle						R	33		Tap one of your untapped Diplomats and pay 3 Force -> Choose an arena. Prevent all damage done by units in that arena until end of turn. Play only before any unit in that arena attacks.		REP, CW
Qui-Gon's Spirit (A)	FOTR	Qui_Gons_Spirit_A	L	Character	Jedi Spirit	5	20	0	2	R	34	Text erratum for third ability | You may have Qui-Gon's Spirit in the arena at the same time as Qui-Gon Jinn. They do not stack. | Qui-Gon's Spirit still counts as a unit and may be targeted by effects that target units.	Qui-Gon's Spirit doesn't count towards controlling the Character arena. | Prevent all damage to and from Qui-Gon's Spirit. | Whenever one of your Jedi Characters or Jedi Pilots is discarded from any arena, you may put the top card of that Character or Pilot facedown under Qui-Gon's Spirit. (Cards put under Qui-Gon's Spirit in this way are not a part of his stack and are not in play.)  | When Qui-Gon's Spirit is discarded, put all facedown cards under him into your discard pile. | When your build step starts, gain 1 Force for each face down card under Qui-Gon's Spirit.		REP, CW, REB
Separatist Headquarters	FOTR	Separatist_Headquarters	D	Location	Character - Utapau	5				R	35		Each of your Separatist, Trade Federation, IG Banking Clan, Corporate Alliance, Geonosian, Techno Union, and Commerce Guild units costs one fewer build counter to deploy.		REP, CW
Sly Moore (A)	FOTR	Sly_Moore_A	D	Character	Umbaran Diplomat Aide	5	30	2	3	R	36		[tap] -> Tap one of your opponent's Diplomats. Play only during your build step. Whenever your opponent would damage one of your Dark Side Diplomats, prevent that damage unless your opponent pays 2 Force.		REP, CW
Tantive IV (B)	FOTR	Tantive_IV_B	L	Space	Alderaan Capital Ship	6	30	5	5	R	37		Shields 1 | [tap] -> Choose one of your Jedi units in any arena. That unit gets "Pay 2 Force -> Retreat this unit. Play only when no unit is attacking." until end of turn. Play only during your build step.		REP, CW, REB
Tarfful (A)	FOTR	Tarfful_A	L	Character	Wookiee Officer	8	40	7	6	R	38		Pay 2 Force -> Retaliate 3 | Each of your other Wookiee Characters' activated abilities cost 1 less Force to play.		REP, CW
Tion Medon (A)	FOTR	Tion_Medon_A	N	Character	Utapau Diplomat	4	30	1	3	R	39		[tap] -> Reveal a partially built card in your opponent's build zone. Remove one build counter from that card. Play only during your build step.		REP, CW
Wookiee Army	FOTR	Wookiee_Army	L	Ground	Wookiee Squad	9	20	9	7	R	40		Pay 2 Force -> Retaliate, where X equals the number of Wookies in the Ground arena.		REP, CW
Anakin Skywalker (P)	FOTR	Anakin_Skywalker_P	N	Character	Jedi Knight - Council Member	3	50	5	5	U	41		Pay 3 Force -> Evade 2 | Pay 1 Force -> Anakin gets Accuracy 1 for this attack. | When the battle step starts, each player secretly bids Force. Whoever bids higher wins the bid and must pay that much Force to gain control of Anakin until end of turn. If it's a tie, you win the bid.		REP, CW
ARC Fighter	FOTR	ARC_Fighter	L	Space	Republic Clone Starfighter	4	50	2	2	U	42		This unit can have up to 2 extra Pilots. | This unit can't have more than 4 Pilots, and can't have more than 1 Astromech Droid Pilot. | This unit gets +1 power and +1 health for each Pilot on it.		REP, CW
Vehicle Armor Plating	FOTR	Vehicle_Armor_Plating	N	Equipment	Space/Ground	2				U	43		Pay 2 build points -> Equip. | Equipped Space or Ground unit gets Armor.		REP, CW
Barriss Offee (A)	FOTR	Barriss_Offee_A	L	Character	Jedi Knight	5	50	4	4	U	44		Pay 2 Force -> Deflect 1 | As long as Luminara Unduli is in the Character arena, Barriss gets Parry 1.		REP, CW
Boga (A)	FOTR	Boga_A	L	Ground	Utapau Creature	3	40	3	3	U	45		[tap] -> One of your Jedi Characters gets +20 speed until end of battle. | Tap one of your untapped Jedi Characters -> Boga gets +20 speed until end of battle.		REP, CW
Cin Drallig (A)	FOTR	Cin_Drallig_A	L	Character	Jedi Master	7	50	5	4	U	46		Parry 1 | Pay 1 Force -> Evade 1 | Each of your Jedi Characters without Parry gets Parry 1.		REP, CW
Clone Grenade	FOTR	Clone_Grenade	N	Equipment	Ground/Character	1				U	47		Pay 1 build point -> Equip. | Equipped Clone unit gets "When this unit attacks and does damage (before damage prevention), do 2 additional damage to the defending unit. When this unit's attack ends, roll a die. If you roll a 1 or 2, do 1 damage to this unit."		REP, CW
Clone Landing Platform	FOTR	Clone_Landing_Platform	N	Location	Character	2				U	48		When your build step starts, you may search your deck for a Clone unit card. Show it to your opponent and put it in your hand. Shuffle your deck.		REP, CW
Clone Starfighter Squadron	FOTR	Clone_Starfighter_Squadron	L	Space	Republic Clone Squadron	5	50	4	4	U	49		Accuracy 1		REP, CW
Commander Bly (A)	FOTR	Commander_Bly_A	N	Character	Clone Officer	6	40	5	4	U	50		Upkeep: Put one damage counter on one of your Clone Characters. | Each of your other Clone Characters gets Armor.		REP, CW
Commander Cody (A)	FOTR	Commander_Cody_A	N	Character	Clone Officer	6	40	5	4	U	51		Each of your other Clone Characters and Clone Ground Units gets +1 power. | As long as you have a Jedi in the Character arena, Cody gets Critical Hit 1.		REP, CW
Commander Gree (A)	FOTR	Commander_Gree_A	N	Character	Clone Officer	6	40	5	4	U	52		Each of your other Clone Characters gets "Pay 1 Force -> Intercept." | As long as you have a Jedi in the Character arena, Gree gets Lucky 1.		REP, CW
Darth Vader (U)	FOTR	Darth_Vader_U	D	Character	Dark Jedi Knight - Sith Apprentice	8	50	6	5	U	53		Pay 3 Force -> Evade 2 | Each of your Clone Characters gets +10 speed and Accuracy 1.		REP, CW
Death of Liberty	FOTR	Death_of_Liberty	D	Mission		3				U	54		Tap all Diplomats in every arena. Gain Force equal to the number of Diplomats you tapped.		REP, CW
Droid Tri-Fighter Squadron	FOTR	Droid_Tri_Fighter_Squadron	D	Space	Separatist Trade Federation Droid Squadron	5	50	4	4	U	55		Critical Hit 1		REP, CW
Felucia Battlegrounds	FOTR	Felucia_Battlegrounds	N	Location	Space/Ground/Character - Felucia	2				U	56		Each of your Clones costs 1 less build point to deploy to this arena.		REP, CW
Force Grip	FOTR	Force_Grip	D	Battle						U	57		Pay 4 Force -> Choose one of your opponent's units in the Character arena. Do 2 damage to that unit. When the battle step ends, if you have a Dark Jedi in the Character arena, do 2 additional damage to that unit.		REP, CW
Force Push	FOTR	Force_Push	N	Battle						U	58		Pay 4 Force -> Choose an arena. Retreat one of your opponent's units in that arena with a total build cost of 3 or less. Play only if your opponent has two or more units in that arena.		REP, CW
Galaxies Opera House	FOTR	Galaxies_Opera_House	D	Location	Ground - Coruscant	1				U	59		When you draw a card at the beginning of your build step, you may put it on the bottom of your deck. If you do, draw another card. You may do this only once per turn.		REP, CW
Gelagrub	FOTR	Gelagrub	N	Ground	Felucia Creature	4	20	4	4	U	60		Armor		REP, CW
General Grievous (C)	FOTR	General_Grievous_C	D	Character	Separatist Cyborg Officer	8	50	7	6	U	61		Treat Grievous as a Dark Jedi. | Pay 2 Force -> Deflect 1 | Critical Hit 1 | When General Grievous causes a Jedi to be discarded, untap him.		REP, CW
General Grievous (D)	FOTR	General_Grievous_D	D	Character	Separatist Cyborg Officer	7	60	6	5	U	62	When Grievous is returned to the Character arena, if he is tapped, he remains tapped.	Treat Grievous as a Droid. | Pay 4 Force -> Retreat Grievous. Play only when no unit is attacking. | [Pilot] Vehicle Pilot. The Vehicle gets: * Pay 1 Force -> Evade 1. * When the Ground battle step ends, you may put one damage counter on this unit. If you do, move Grievous to the Character arena.		REP, CW
Growing Power	FOTR	Growing_Power	D	Battle						U	63		Pay 4 Force -> One of your Jedi or Sith Characters gets +X power until end of turn, where X is equal to the number of Jedi unit cards in your opponent's discard pile.		REP, CW
Guarlara (A)	FOTR	Guarlara_A	L	Space	Republic Capital Ship	7	30	7	6	U	64		Accuracy 1		REP, CW
HMP Gunship	FOTR	HMP_Gunship	D	Ground	Separatist Droid Gunship	6	40	5	4	U	65		Accuracy 1		REP, CW
Darth Sidious's Communicator (A)	FOTR	Sidiouss_Communicator_A	D	Equipment	Character	2				U	66	Name erratum	Pay 1 build point, 1 Force -> Equip | Equipped Character gets "[tap], Pay 4 Force -> Untap one of your Sith or Clone Characters. Play only when no unit is attacking and only once per turn."		REP, CW
IG-100 Magnaguard	FOTR	IG_100_Magnaguard	D	Character	IG Banking Clan Bodyguard Droid	5	60	4	3	U	67		Stun 2 | Whenever this unit would be discarded, roll a die. If it is a 5 or 6, remove all damage counters from this unit instead.		REP, CW
IG-101 Magnaguard	FOTR	IG_101_Magnaguard	D	Character	IG Banking Clan Bodyguard Droid	5	60	4	3	U	68		Pay 0 Force -> Intercept | As long as General Grievous is in the Character arena, this unit gets Critical Hit 2.		REP, CW
Jedi Command	FOTR	Jedi_Command	L	Battle						U	69		Pay 4 Force -> Choose an arena. Each of your non-unique units in that arena gets +2 power until end of turn. Play only if you have a unique Jedi in that arena.		REP, CW
Jedi Purge	FOTR	Jedi_Purge	D	Battle						U	70		Pay 3 Force, Discard one of your Space or Ground units -> Discard one of your opponent's Jedi units in the same arena with a build cost equal to or less than the unit you discarded. Play only when no unit is attacking.		REP, CW
Jedi Temple Briefing Room	FOTR	Jedi_Temple_Briefing_Room	L	Location	Character	3				U	71		Each of your Jedi units gets "Bounty: Gain 2 Force."		REP, CW
Lava Flea	FOTR	Lava_Flea	N	Ground	Mustafar Creature	5	30	3	3	U	72		When the Ground battle step ends, this unit does 2 damage to the last unit it attacked this turn.		REP, CW
Lucrehulk-Class Battleship	FOTR	Lucrehulk_Class_Battleship	D	Space	Separatist Trade Federation Capital Ship	7	20	6	6	U	73		Bombard 3 | Equipment costs 1 less build point to attach to this unit.		REP, CW
Might of Kashyyyk	FOTR	Might_of_Kashyyyk	L	Mission		2				U	74		Choose an arena. Whenever one of your opponent's units in that arena is discarded this turn, each of your Wookiee units in that arena gets an additional +3 power until end of battle.		REP, CW
Obi-Wan Kenobi (P)	FOTR	Obi_Wan_Kenobi_P	L	Character	Jedi Master	6	40	5	5	U	75		Pay 2 Force -> Evade 2 | [Pilot] Creature Pilot. The Creature gets: * Accuracy 1. * When this unit is discarded from the Ground arena, you may move Obi-Wan to the build zone instead of discarding him. Tap Obi-Wan. * As long as this unit is in the Ground arena, your opponent can't retreat Ground units.		REP, CW
Oevvaor Catamaran	FOTR	Oevvaor_Catamaran	L	Ground	Aquatic Wookiee Vehicle	4	40	4	3	U	76	This unit can only apply its effect to a unit with equal or faster speed unless it untaps during the attack POP of a slower unit's attack.	[tap] -> One of your other Wookiee Ground units gets +2 power for this attack.		REP, CW
Star Corps Gelagrub Rider	FOTR	Star_Corp_Gelagrub_Rider	L	Character	Republic Clone	4	40	3	2	U	77		[Pilot] Creature Pilot. The Creature gets: * +10 speed. * Accuracy 1.		REP, CW
The Chosen One	FOTR	The_Chosen_One	N	Mission		4				U	78		Search your deck for up to 3 Anakin Skywalker or Darth Vader cards. Show them to your opponent and put them in your hand. Shuffle your deck.		REP, CW, REB
Utapau Landing Platform	FOTR	Utapau_Landing_Platform	N	Location	Space/Ground - Utapau Aquatic	2				U	79	Text erratum	Each of your units in the arena this Location is in gets "[tap] -> Remove up to 2 damage counters from this unit. Play only during your build step."		REP, CW
Wookiee Shield	FOTR	Wookiee_Shield	L	Equipment	Ground/Character	1				U	80		Pay 1 build points -> Equip. | Equipped Wookiee unit gets Shields 1.		REP, CW
41st Elite Corps Scout	FOTR	41st_Elite_Corps_Scout	L	Character	Republic Clone Soldier	4	40	4	3	C	81		Bounty: Look at your opponent's hand.		REP, CW
501st Legion Trooper	FOTR	501st_Legion_Trooper	D	Character	Imperial Clone Soldier	4	60	3	2	C	82		Hidden Cost 2 | Put two damage counters on this unit -> Put one damage counter on one of your opponent's Jedi Characters.		REP, CW
Anakin Skywalker (O)	FOTR	Anakin_Skywalker_O	L	Character	Jedi Knight	7	60	7	6	C	83		Pay 1 Force -> Evade 1 | Pay 3 Force -> Deflect 1		REP, CW
AT-OT	FOTR	AT_OT	L	Ground	Republic Assault Walker	6	40	4	5	C	84		Armor | Critical Hit 1		REP, CW
AT-RT Pilot	FOTR	AT_RT_Pilot	L	Character	Republic Clone	3	30	3	2	C	85		[Pilot] Vehicle Pilot. The Vehicle gets Accuracy 1.		REP, CW
Clone Blaster	FOTR	Clone_Blaster	N	Equipment	Ground/Character	0				C	86		Pay 1 build point -> Equip | Equipped Clone unit gets Critical Hit 1.		REP, CW
Clone Pilot	FOTR	Clone_Pilot	L	Character	Republic Clone	2	30	2	1	C	87		[Pilot] Starfighter Pilot. The Starfighter gets +1 power.		REP, CW
Coruscant System	FOTR	Coruscant_System	N	Location	Space - Coruscant	1				C	88		When your build step starts, you may tap one of your Space units. If you do, you may search your deck for a Ground or Space Equipment card. Show it to your opponent and put it in your hand. Shuffle your deck.		REP, CW
Crab Droid	FOTR	Crab_Droid	D	Ground	Separatist Techno Union Droid	4	50	4	3	C	89		Critical Hit 1		REP, CW
Emergency Code	FOTR	Emergency_Code	L	Mission		2				C	90		Search your deck for up to two Jedi unit cards, show them to your opponent, and put them into your hand. Shuffle your deck. Play only if you have a Jedi in any arena.		REP, CW
Held Up	FOTR	Held_Up	N	Battle						C	91		Pay 1 Force -> Choose one of your opponent's units. That unit gets -20 speed until end of turn.		REP, CW
Imperial Medical Facility	FOTR	Imperial_Medical_Facility	D	Location	Character - Imperial Facility	2				C	92		Each of your Characters gets "[tap] -> Remove up to 2 damage counters from this unit and put 1 damage counter on another one of your Characters in any arena. Play only during your build step." 		REP, CW, REB
Jedi Interceptor	FOTR	Jedi_Interceptor	L	Space	Jedi Starfighter	4	50	3	3	C	93		Pay 1 Force -> Evade 1 | Pay 2 Force -> Intercept		REP, CW
Kachiro Beach	FOTR	Kachiro_Beach	L	Location	Ground - Kashyyyk Aquatic	2				C	94		Each of your Wookiee units in this arena gets +2 power when attacking a Droid.		REP, CW
Last Hope	FOTR	Last_Hope	L	Mission		1				C	95		Whenever one of your Characters is discarded during battle this turn, reveal cards from the top of your deck until you reveal a Character unit card. Put that unit card into your hand. Shuffle the remaining revealed cards back into your deck.		REP, CW
Mygeeto Tri-droid	FOTR	Mygeeto_Tri_droid	D	Ground	Separatist Techno Union Droid	7	30	6	6	C	96		Critical Hit 2		REP, CW
Neimoidian Warrior	FOTR	Neimoidian_Warrior	D	Character	Trade Federation Soldier	3	40	4	3	C	97		Pay 1 Force -> This unit gets +1 power for this attack. You may play this ability once during each attack.		REP, CW
Obi-Wan Kenobi (Q)	FOTR	Obi_Wan_Kenobi_Q	L	Character	Jedi Master	6	50	5	5	C	98		Hidden Cost 3 | Pay 2 Force -> Evade 2		REP, CW
Obi-Wan's Defense	FOTR	Obi_Wans_Defense	L	Battle						C	99		The activated abilities of one of your defending units cost 1 less Force to play for this attack.		REP, CW
Octuptarra Tri-Droid	FOTR	Octuptarra_Tri_Droid	D	Ground	Separatist Techno Union Droid	4	50	4	2	C	100		Accuracy 1		REP, CW
Palpatine's Teachings	FOTR	Palpatines_Teachings	D	Mission		3				C	101		Choose one of your damaged Jedi or Sith Characters. Gain Force equal to the number of damage counters on that unit.		REP, CW
Parjai Trooper	FOTR	Parjai_Trooper	L	Character	Republic Clone Soldier	5	50	4	3	C	102		Accuracy 1 | Stun 1		REP, CW
Reorganization	FOTR	Reorganization	D	Mission		2				C	103	This targets all versions of a Character in play, or only that copy of a non-unique Character in play.	Choose two of your units. Both of those units gain the Imperial subtype until end of game.		REP, CW
Separatist Buzz Droid	FOTR	Separatist_Buzz_Droid	D	Space	Separatist Trade Federation Droid	2	60	2	1	C	104		[tap] -> Do 1 damage to one of your opponent's Space units. Play only when this unit would attack. | Discard this unit -> Discard an Astromech Droid from the Space arena. Play only when this unit would attack.		REP, CW
Separatist Spider Droid	FOTR	Separatist_Spider_Droid	D	Ground	Separatist Commerce Guild Droid	4	40	3	3	C	105		Accuracy 1		REP, CW
Shock Trooper	FOTR	Shock_Trooper	D	Character	Imperial Clone Soldier	4	50	3	2	C	106		Hidden Cost 2 | Stun 2		REP, CW
So Uncivilized	FOTR	So_Uncivilized	N	Battle						C	107		Choose one of your units with Equipment. That unit gets Critical Hit 2 for this attack.		REP, CW
Swamp Speeder	FOTR	Swamp_Speeder	L	Ground	Aquatic Republic Speeder	3	70	2	2	C	108		This unit gets Critical Hit 2 if there is an Aquatic Location in any arena.		REP, CW
Trained in the Arts	FOTR	Trained_in_the_Arts	N	Battle						C	109	Text erratum	Pay 1 Force -> Choose one of your units in any arena. That unit gets Parry 1 until end of turn. | Enhance: Pay 3 more Force -> Each of your units in that arena gets Parry 1 until end of turn instead.		REP, CW
Turbolaser	FOTR	Turbolaser	N	Equipment	Space	0				C	110		Pay 2 build points -> Equip. | Equipped Capital Ship gets Critical Hit 2 and "This unit gets Accuracy -1 when attacking Starfighters."		REP, CW
Utapau Dragon Wranglers	FOTR	Utapau_Dragon_Wranglers	N	Character	Utapau Soldier	3	40	2	2	C	111		Each of your Creatures gets +10 speed.		REP, CW
Utapau Starfighter	FOTR	Utapau_Starfighter	N	Space	Utapau Starfighter	3	50	3	3	C	112		Stun 1		REP, CW
Utapau Warrior	FOTR	Utapau_Warrior	N	Character	Utapau Soldier	3	40	1	3	C	113		This unit gets +1 power for each other Utapau unit in any arena.		REP, CW
Vader's Aggression	FOTR	Vaders_Aggression	D	Battle						C	114		The activated abilities of one of your attacking units cost 1 less Force to play for this attack.		REP, CW
Vulture Droid Wing	FOTR	Vulture_Droid_Wing	D	Space	Separatist Droid Squadron	6	50	6	4	C	115		Discard this unit from the Space arena -> Search your deck for a Droid Missiles card and show it to your opponent. Put it into your build zone and place one build counter on it. Shuffle your deck. Play only when no unit is attacking.		REP, CW
V-wing Squadron	FOTR	V_wing_Squadron	L	Space	Republic Squadron	4	40	6	4	C	116		This unit gets -1 power for each Separatist unit in the Space arena.		REP, CW
Wookiee Flyer	FOTR	Wookiee_Flyer	L	Ground	Wookiee Speeder	3	50	3	2	C	117		Critical Hit 1		REP, CW
Wookiee Squad	FOTR	Wookiee_Squad	L	Ground	Wookiee Soldier	4	40	4	3	C	118		Pay 2 Force -> Retaliate 2		REP, CW
Wookiee Tactics	FOTR	Wookiee_Tactics	L	Battle						C	119	Text erratum	Choose an arena. Until end of turn, each of your units in that arena gets "Pay 2 Force -> Retaliate X, where X equals the number of Wookiees in this arena."		REP, CW
Wookiee Warrior	FOTR	Wookiee_Warrior	L	Character	Wookiee Soldier	6	40	6	5	C	120		Pay 2 Force -> Retaliate 3		REP, CW
501st Legion Trooper (LEGO)	FOTR	LEGO001_501st_Legion_Trooper	D	Character	Imperial Clone Soldier	4	60	3	2	L			Hidden Cost 2 | Put two damage counters on this unit -> Put one damage counter on one of your opponent's Jedi Characters.		REP, CW
Battle of the Heroes (LEGO)	FOTR	LEGO005_Battle_of_the_Heroes	N	Battle						L			Pay 4 Force-> Choose one of your Character units and one of your opponent's Character units with equal or greater build cost in the Character arena. Untap those units. Play only if both units are tapped and can be untapped.		REP, CW
Eta-2 Squadron (A) (LEGO)	FOTR	LEGO020_Eta-2_Squadron_A	L	Space	Republic Jedi Squadron	6	60	5	4	L			When the Space battle step starts, remove all damage counters from this unit.		REP, CW
General Grievous (B) (LEGO)	FOTR	LEGO027_General_Grievous_B	D	Character	Separatist Cyborg Officer	6	50	6	4	L			Treat Grievous as a Dark Jedi. | Armor | Pay 3 Force -> Evade 2 | Bounty: Gain control of all Equipment detached from the discarded Character when it was discarded and attach it to Grievous without paying the equip cost. When that Equipment is detached from Grievous, return it to its owner's build zone. The owner gains control of that Equipment.		REP, CW
Obi-Wan Kenobi (O) (LEGO)	FOTR	LEGO051_Obi-Wan_Kenobi_O	L	Character	Jedi Master - Council Member	9	50	7	7	L			Parry 2 | Pay 2 Force -> Evade 2		REP, CW
Order 66 (LEGO)	FOTR	LEGO052_Order_66	D	Battle						L			Tap Darth Sidious, Pay X Force -> Choose one of your opponent's Clone units with a total build cost equal to or less than X. Gain control of that unit until end of game. If your opponent has no Clone units in play, take a Clone unit card with a total build cost equal to or less than X from your hand and put it into its arena untapped. Darth Sidious can't untap until the next turn ends.		REP, CW
So Uncivilized (LEGO)	FOTR	LEGO066_So_Uncivilized	N	Battle						L			Choose one of your units with Equipment. That unit gets Critical Hit 2 for this attack.		REP, CW
